DATE,CSHGCPAUA156NRUG
1950-01-01,0.0774608850479126
1951-01-01,0.09579680114984512
1952-01-01,0.1084698885679245
1953-01-01,0.09400856494903564
1954-01-01,0.0915839895606041
1955-01-01,0.09031511098146439
1956-01-01,0.08852259069681168
1957-01-01,0.09097089618444443
1958-01-01,0.09113191813230515
1959-01-01,0.0850735455751419
1960-01-01,0.08910943567752838
1961-01-01,0.09208832681179047
1962-01-01,0.09079550206661224
1963-01-01,0.08786673098802567
1964-01-01,0.09225287288427353
1965-01-01,0.10237161070108414
1966-01-01,0.10287068784236908
1967-01-01,0.10869179666042328
1968-01-01,0.10576491802930832
1969-01-01,0.10751744359731674
1970-01-01,0.10939887911081314
1971-01-01,0.11091602593660355
1972-01-01,0.11254239827394485
1973-01-01,0.11047288775444031
1974-01-01,0.12471938878297806
1975-01-01,0.1332668513059616
1976-01-01,0.12827973067760468
1977-01-01,0.1305674910545349
1978-01-01,0.12793494760990143
1979-01-01,0.1247989758849144
1980-01-01,0.12656615674495697
1981-01-01,0.12502090632915497
1982-01-01,0.13095815479755402
1983-01-01,0.12793391942977905
1984-01-01,0.13109427690505981
1985-01-01,0.13264407217502594
1986-01-01,0.1386200487613678
1987-01-01,0.13656409084796906
1988-01-01,0.1357019692659378
1989-01-01,0.1388474553823471
1990-01-01,0.13896143436431885
1991-01-01,0.14735014736652374
1992-01-01,0.14596883952617645
1993-01-01,0.14607900381088257
1994-01-01,0.14908728003501892
1995-01-01,0.15046489238739014
1996-01-01,0.14565126597881317
1997-01-01,0.14876602590084076
1998-01-01,0.15169936418533325
1999-01-01,0.15001778304576874
2000-01-01,0.14894472062587738
2001-01-01,0.14964979887008667
2002-01-01,0.1488855928182602
2003-01-01,0.15178753435611725
2004-01-01,0.15178972482681274
2005-01-01,0.14968806505203247
2006-01-01,0.14964284002780914
2007-01-01,0.1499616950750351
2008-01-01,0.14815856516361237
2009-01-01,0.15165822207927704
2010-01-01,0.1477048546075821
2011-01-01,0.14993850886821747
2012-01-01,0.14607447385787964
2013-01-01,0.13990549743175507
2014-01-01,0.1458815485239029
2015-01-01,0.16226013004779816
2016-01-01,0.16159865260124207
2017-01-01,0.16374161839485168
2018-01-01,0.1655486673116684
2019-01-01,0.17671862244606018
