DATE,CSHICPAUA156NRUG
1950-01-01,0.3444296419620514
1951-01-01,0.43570446968078613
1952-01-01,0.26513779163360596
1953-01-01,0.30894234776496887
1954-01-01,0.3413841724395752
1955-01-01,0.33930933475494385
1956-01-01,0.30401554703712463
1957-01-01,0.31713026762008667
1958-01-01,0.34167930483818054
1959-01-01,0.3487901985645294
1960-01-01,0.3561832010746002
1961-01-01,0.3028332591056824
1962-01-01,0.32044193148612976
1963-01-01,0.3156443238258362
1964-01-01,0.341543585062027
1965-01-01,0.3291795253753662
1966-01-01,0.32727810740470886
1967-01-01,0.3228359520435333
1968-01-01,0.3339838683605194
1969-01-01,0.3327113687992096
1970-01-01,0.32975515723228455
1971-01-01,0.3155020475387573
1972-01-01,0.3054548501968384
1973-01-01,0.3185483515262604
1974-01-01,0.2721050977706909
1975-01-01,0.2698427438735962
1976-01-01,0.27362269163131714
1977-01-01,0.26195037364959717
1978-01-01,0.28881505131721497
1979-01-01,0.2832970917224884
1980-01-01,0.3060787320137024
1981-01-01,0.31921684741973877
1982-01-01,0.2784320116043091
1983-01-01,0.28902164101600647
1984-01-01,0.3023984134197235
1985-01-01,0.3049342930316925
1986-01-01,0.2876111567020416
1987-01-01,0.29510512948036194
1988-01-01,0.31266167759895325
1989-01-01,0.30299878120422363
1990-01-01,0.25287652015686035
1991-01-01,0.24427953362464905
1992-01-01,0.25235819816589355
1993-01-01,0.26444700360298157
1994-01-01,0.2772671580314636
1995-01-01,0.260044127702713
1996-01-01,0.25964224338531494
1997-01-01,0.2661440968513489
1998-01-01,0.2701761722564697
1999-01-01,0.271564781665802
2000-01-01,0.24335399270057678
2001-01-01,0.25588756799697876
2002-01-01,0.2769068777561188
2003-01-01,0.29376426339149475
2004-01-01,0.30073443055152893
2005-01-01,0.2982873022556305
2006-01-01,0.2966354787349701
2007-01-01,0.3028333783149719
2008-01-01,0.2783043384552002
2009-01-01,0.26886600255966187
2010-01-01,0.2503662407398224
2011-01-01,0.2531035244464874
2012-01-01,0.26821762323379517
2013-01-01,0.2865217328071594
2014-01-01,0.2848248779773712
2015-01-01,0.2618831992149353
2016-01-01,0.24314270913600922
2017-01-01,0.23567529022693634
2018-01-01,0.2179260104894638
2019-01-01,0.206068217754364
