DATE,CSHCCPAUA156NRUG
1950-01-01,0.6268758177757263
1951-01-01,0.6538432240486145
1952-01-01,0.6112619638442993
1953-01-01,0.6050155758857727
1954-01-01,0.6121135950088501
1955-01-01,0.5988478660583496
1956-01-01,0.5868298411369324
1957-01-01,0.6059049963951111
1958-01-01,0.5715851783752441
1959-01-01,0.5787267088890076
1960-01-01,0.5933981537818909
1961-01-01,0.600716769695282
1962-01-01,0.6056804656982422
1963-01-01,0.6023358106613159
1964-01-01,0.5993458032608032
1965-01-01,0.6072524785995483
1966-01-01,0.5909410715103149
1967-01-01,0.5964158773422241
1968-01-01,0.5831165313720703
1969-01-01,0.5714635252952576
1970-01-01,0.5641056895256042
1971-01-01,0.5573521256446838
1972-01-01,0.5609682202339172
1973-01-01,0.5657917857170105
1974-01-01,0.6117510795593262
1975-01-01,0.5985735058784485
1976-01-01,0.6047965288162231
1977-01-01,0.6108757853507996
1978-01-01,0.5923368334770203
1979-01-01,0.5840169191360474
1980-01-01,0.5860802531242371
1981-01-01,0.593349814414978
1982-01-01,0.6215097308158875
1983-01-01,0.5948929786682129
1984-01-01,0.5790940523147583
1985-01-01,0.5877490043640137
1986-01-01,0.5886298418045044
1987-01-01,0.5620825886726379
1988-01-01,0.5574299693107605
1989-01-01,0.5665551424026489
1990-01-01,0.5900347828865051
1991-01-01,0.6099982857704163
1992-01-01,0.5829151272773743
1993-01-01,0.582362949848175
1994-01-01,0.5852881669998169
1995-01-01,0.5851453542709351
1996-01-01,0.5803966522216797
1997-01-01,0.5801244974136353
1998-01-01,0.5905233025550842
1999-01-01,0.5887231826782227
2000-01-01,0.5839386582374573
2001-01-01,0.5806683897972107
2002-01-01,0.5820097923278809
2003-01-01,0.5762013792991638
2004-01-01,0.5697692036628723
2005-01-01,0.5511220693588257
2006-01-01,0.559603750705719
2007-01-01,0.5669731497764587
2008-01-01,0.5409274101257324
2009-01-01,0.5611789226531982
2010-01-01,0.5490944385528564
2011-01-01,0.5453540086746216
2012-01-01,0.5651558041572571
2013-01-01,0.557542085647583
2014-01-01,0.5646827220916748
2015-01-01,0.5893067717552185
2016-01-01,0.5715364813804626
2017-01-01,0.5572433471679688
2018-01-01,0.5420374870300293
2019-01-01,0.5238878726959229
