DATE,CSHXCPAUA156NRUG
1950-01-01,0.10266199707984924
1951-01-01,0.08558043092489243
1952-01-01,0.11363005638122559
1953-01-01,0.10994000732898712
1954-01-01,0.10487093776464462
1955-01-01,0.10512516647577286
1956-01-01,0.11420358717441559
1957-01-01,0.10094403475522995
1958-01-01,0.10106714069843292
1959-01-01,0.10344792902469635
1960-01-01,0.10858818143606186
1961-01-01,0.11592040210962296
1962-01-01,0.10076333582401276
1963-01-01,0.11971692740917206
1964-01-01,0.1266920566558838
1965-01-01,0.116130530834198
1966-01-01,0.1131291463971138
1967-01-01,0.117249496281147
1968-01-01,0.1068221777677536
1969-01-01,0.1095871850848198
1970-01-01,0.12365878373384476
1971-01-01,0.12343508750200272
1972-01-01,0.11610401421785355
1973-01-01,0.12570957839488983
1974-01-01,0.14265571534633636
1975-01-01,0.15037097036838531
1976-01-01,0.15306995809078217
1977-01-01,0.15799880027770996
1978-01-01,0.14429256319999695
1979-01-01,0.1618383228778839
1980-01-01,0.17217396199703217
1981-01-01,0.15785716474056244
1982-01-01,0.15767861902713776
1983-01-01,0.1494016945362091
1984-01-01,0.15888331830501556
1985-01-01,0.1602601259946823
1986-01-01,0.13983233273029327
1987-01-01,0.14035764336585999
1988-01-01,0.1447916030883789
1989-01-01,0.1510189175605774
1990-01-01,0.16028240323066711
1991-01-01,0.14600487053394318
1992-01-01,0.1797299087047577
1993-01-01,0.16548554599285126
1994-01-01,0.1672462821006775
1995-01-01,0.16831213235855103
1996-01-01,0.1804276704788208
1997-01-01,0.1870230883359909
1998-01-01,0.17147691547870636
1999-01-01,0.1608426421880722
2000-01-01,0.19516530632972717
2001-01-01,0.18752124905586243
2002-01-01,0.18581558763980865
2003-01-01,0.17608505487442017
2004-01-01,0.19730035960674286
2005-01-01,0.230100616812706
2006-01-01,0.24689312279224396
2007-01-01,0.2503962218761444
2008-01-01,0.301587849855423
2009-01-01,0.26246801018714905
2010-01-01,0.31264829635620117
2011-01-01,0.3681224286556244
2012-01-01,0.35266175866127014
2013-01-01,0.3194846212863922
2014-01-01,0.30118778347969055
2015-01-01,0.27109619975090027
2016-01-01,0.2596055269241333
2017-01-01,0.29896408319473267
2018-01-01,0.3047061562538147
2019-01-01,0.32315921783447266
